stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code
3022_01,,上外,,35.57866,137.50099,3022_01,,0,
3023_01,,外洞,,35.57382,137.50118,3023_01,,0,
3024_01,,二股,,35.57214,137.50019,3024_01,,0,
3025_01,,中島,,35.57148,137.50277,3025_01,,0,
3026_01,,井汲,,35.56947,137.50835,3026_01,,0,
3027_01,,八幡神社,,35.571391,137.511492,3027_01,,0,
3028_01,,成栗,,35.569536,137.513788,3028_01,,0,
3029_01,,中外公会堂,,35.56746,137.51675,3029_01,,0,
3030_01,,堀懸橋,,35.56593,137.5205,3030_01,,0,
3031_01,,下外公会堂,,35.56106,137.52235,3031_01,,0,
3032_01,,向山橋,,35.55729,137.52491,3032_01,,0,
3033_01,,横吹,,35.55457,137.52821,3033_01,,0,
3034_01,,下握,,35.55589,137.53313,3034_01,,0,
3035_01,,上握,,35.55776,137.53244,3035_01,,0,
3036_01,,握坂,,35.55947,137.53182,3036_01,,0,
3037_01,,小田垣外,,35.56295,137.52886,3037_01,,0,
3038_01,,上砂護地谷,,35.56498,137.52845,3038_01,,0,
3039_01,,高部公会堂,,35.56771,137.52805,3039_01,,0,
3040_01,,高部,,35.5697,137.52531,3040_01,,0,
3041_01,,坂下新橋,,35.57212,137.52405,3041_01,,0,
3042_01,,坂下総合体育館前,,35.57826,137.52183,3042_01,,0,
3043_01,,大岩,,35.57923,137.51965,3043_01,,0,
3044_01,,坂下小学校横,,35.58179,137.51826,3044_01,,0,
3045_01,,４－１詰所,,35.5858,137.51574,3045_01,,0,
3046_01,,小田,,35.58844,137.51439,3046_01,,0,
3047_01,,徳野,,35.58592,137.51258,3047_01,,0,
3048_01,,赤田公会堂,,35.58262,137.51477,3048_01,,0,
3049_01,,坂下橋,,35.57095,137.52903,3049_01,,0,
3050_01,,阿弥陀様前,,35.56984,137.53069,3050_01,,0,
3051_01,,西方寺公会堂,,35.56716,137.53051,3051_01,,0,
3052_01,,坂下処理場前,,35.56098,137.53114,3052_01,,0,
3053_01,,握公会堂下,,35.55663,137.53713,3053_01,,0,
3054_01,,下島（坂下）,,35.55403,137.5375,3054_01,,0,
3055_01,,元庄屋前,,35.55424,137.53573,3055_01,,0,
3056_01,,中之垣外,,35.577119,137.533588,3056_01,,0,
3057_01,,東町,,35.578201,137.531345,3057_01,,0,
3058_01,,東町住宅,,35.579231,137.531882,3058_01,,0,
3059_01,,上鐘入口,,35.58138,137.52878,3059_01,,0,
3060_01,,上鐘出口,,35.58358,137.52726,3060_01,,0,
3061_01,,坂下浄水場前,,35.5843,137.5253,3061_01,,0,
3062_01,,松源地,,35.58452,137.52323,3062_01,,0,
3063_01,,樋ヶ沢住宅,,35.58707,137.52064,3063_01,,0,
3064_01,,時鐘公会堂上,,35.58373,137.52,3064_01,,0,
3065_01,,坂下中学校横,,35.57996,137.52231,3065_01,,0,
3066_01,,時鐘南,,35.57725,137.52347,3066_01,,0,
3067_01,,坂下保育園前,,35.5741,137.52511,3067_01,,0,
3068_01,,坂下公民館,,35.57389,137.52808,3068_01,,0,
3069_01,,坂下郵便局前,,35.57352,137.52942,3069_01,,0,
3070_01,,門田橋,,35.58874,137.51305,3070_01,,0,
3071_01,,時鐘北,,35.5864,137.51788,3071_01,,0,
3072_01,,小野沢,,35.61183,137.48642,3072_01,,0,
3073_01,,上野口,,35.608532,137.480405,3073_01,,0,
4001_01,,加子母総合事務所,,35.71513,137.37086,4001_01,,0,
4002_01,,加子母歯科診療所,,35.71638,137.36982,4002_01,,0,
4003_01,,向畑住宅,,35.72063,137.35665,4003_01,,0,
4004_01,,二渡橋西,,35.72901,137.34609,4004_01,,0,
4005_01,,鎌井野,,35.73637,137.34065,4005_01,,0,
4006_01,,三屋前,,35.74017,137.34105,4006_01,,0,
4007_01,,濃飛小和知バス停,,35.742635,137.339793,4007_01,,0,
4007_02,,濃飛小和知バス停,,35.742369,137.339846,4007_02,,0,
4008_01,,河村分院,,35.74616,137.33652,4008_01,,0,
4009_01,,小郷農道記念碑,,35.7502,137.33784,4009_01,,0,
4010_01,,起シ,,35.75865,137.34092,4010_01,,0,
4011_01,,日枯谷,,35.75675,137.33748,4011_01,,0,
4012_01,,大杉スクールバス停,,35.75234,137.33394,4012_01,,0,
4013_01,,小郷西スクールバス停,,35.74869,137.33328,4013_01,,0,
4014_01,,清水,,35.73346,137.34585,4014_01,,0,
4015_01,,高屋,,35.72731,137.35067,4015_01,,0,
4016_01,,炭焼渡,,35.72561,137.35338,4016_01,,0,
4017_01,,番田消防詰所前,,35.72001,137.36173,4017_01,,0,
4018_01,,番田,,35.71794,137.3659,4018_01,,0,
4019_01,,学園前,,35.71601,137.3683,4019_01,,0,
4020_01,,JA加子母支店,,35.71306,137.36929,4020_01,,0,
4021_01,,田口屋前,,35.71231,137.37349,4021_01,,0,
4022_01,,道の駅加子母,,35.70851,137.37517,4022_01,,0,
4023_01,,加子母郵便局,,35.70842,137.37595,4023_01,,0,
4024_01,,旧加子母郵便局前,,35.7098,137.37699,4024_01,,0,
4025_01,,栄屋,,35.70605,137.37831,4025_01,,0,
4026_01,,十一屋,,35.70241,137.38114,4026_01,,0,
4027_01,,明治座前,,35.69958,137.38222,4027_01,,0,
4028_01,,河村医院,,35.69638,137.38346,4028_01,,0,
4029_01,,アトラ,,35.69664,137.3804,4029_01,,0,
4030_01,,万賀の辻,,35.69369,137.3843,4030_01,,0,
4031_01,,寺地前,,35.69015,137.38374,4031_01,,0,
4032_01,,角領公民館,,35.68294,137.37694,4032_01,,0,
4033_01,,旧消防詰所,,35.67957,137.37615,4033_01,,0,
4034_01,,下島（加子母）,,35.67802,137.37124,4034_01,,0,
4035_01,,吉金橋,,35.68652,137.37732,4035_01,,0,
4036_01,,ます池,,35.6911,137.38292,4036_01,,0,
5001_01,,付知B&G海洋センター,,35.65675,137.42597,5001_01,,0,
5002_01,,竹内医院,,35.65739,137.42808,5002_01,,0,
5003_01,,付知公民館,,35.66129,137.42911,5003_01,,0,
5004_01,,尾ヶ平,,35.66048,137.43166,5004_01,,0,
5005_01,,広野,,35.65677,137.4338,5005_01,,0,
5006_01,,９区集会所,,35.65451,137.43635,5006_01,,0,
5007_01,,子安神社,,35.64999,137.43811,5007_01,,0,
5008_01,,さのや,,35.64735,137.43427,5008_01,,0,
